"filename", "language", "C#", "ShaderLab", "HLSL", "JSON", "comment", "blank", "total"
"g:\ScrapItOut\scrapout\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "ShaderLab", 0, 104, 0, 0, 8, 28, 140
"g:\ScrapItOut\scrapout\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "ShaderLab", 0, 123, 0, 0, 4, 33, 160
"g:\ScrapItOut\scrapout\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "ShaderLab", 0, 253, 0, 0, 4, 70, 327
"g:\ScrapItOut\scrapout\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "ShaderLab", 0, 111, 0, 0, 0, 21, 132
"g:\ScrapItOut\scrapout\Assets\TextMesh Pro\Shaders\TMPro.cginc", "HLSL", 0, 0, 63, 0, 2, 20, 85
"g:\ScrapItOut\scrapout\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "HLSL", 0, 0, 129, 0, 2, 35, 166
"g:\ScrapItOut\scrapout\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "HLSL", 0, 0, 62, 0, 6, 13, 81
"g:\ScrapItOut\scrapout\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "HLSL", 0, 0, 75, 0, 7, 18, 100
"g:\ScrapItOut\scrapout\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 0, 0, 0, 155, 0, 2, 157
"Total", "-", 2527, 2520, 459, 155, 279, 1396, 7336
